,Name,Address,City State ZIP,ZIP,Number of Sites,Url,latitude,longitude
25,Villas Of Timber Creek,"1 Timber Creek Drive,","Round Lake, IL",60073.0,247,https://www.mhvillage.com/parks/10813,,
26,Fish Lake Beach RV,"32223 N Us Highway 12,","Volo, IL",60073.0,Not found,https://www.mhvillage.com/parks/72942,,
27,Cambridge Courts,"775 W. Long Lake Drive,","Round Lake, IL",60073.0,329,https://www.mhvillage.com/parks/10809,,
28,Harmony Village,"430 Barrington Road,","Wauconda, IL",60084.0,136,https://www.mhvillage.com/parks/10815,,
29,Woodland Mobile Home Park,"410 Barrington Road,","Wauconda, IL",60084.0,100,https://www.mhvillage.com/parks/10816,,
30,Maple Grove Estates,"3308 Kehm Blvd.,","Park City, IL",60085.0,613,https://www.mhvillage.com/parks/33821,,
31,Farmington Estates,"3308 Kehm Boulevard,","Park City, IL",60085.0,225,https://www.mhvillage.com/parks/11674,,
32,Genes Evergreen Estates,"735 Staben Street,","Park City, IL",60085.0,200,https://www.mhvillage.com/parks/10817,,
33,Midway Estates,"3308 Kehm Boulevard,","Park City, IL",60085.0,198,https://www.mhvillage.com/parks/10808,,
34,Park City Manufactured Home Community,"3418 Kehm Boulevard,","Park City, IL",60085.0,641,https://www.mhvillage.com/parks/57237,,
35,Lake View Manufactured Home Community,"38285 N Sheridan Rd,","Beach Park, IL",60087.0,188,https://www.mhvillage.com/parks/10820,,
36,Kings Way Estates,"38455 North Sheridan Road,","Beach Park, IL",60087.0,361,https://www.mhvillage.com/parks/11356,,
37,Pinecrest Mobile Home Park,"37021 N Sheridan Rd,","Beach Park, IL",60087.0,Not found,https://www.mhvillage.com/parks/10824,,
38,Whippletree Village,"525 N. Mchenry Rd.,","Wheeling, IL",60090.0,407,https://www.mhvillage.com/parks/10420,,
39,Fox Point,"573 South Milwaukee Avenue,","Wheeling, IL",60090.0,45,https://www.mhvillage.com/parks/10419,,
40,Sunset Village,"2450 Waukegan Road,","Northfield, IL",60093.0,329,https://www.mhvillage.com/parks/10408,,
41,Hollyhock Hill Mobile Home Park,"1601 Sheridan Rd,","Winthrop Harbor, IL",60096.0,Not found,https://www.mhvillage.com/parks/106900,,
42,Beach Mobile Home Park,"38703 North Sheridan Road,","Beach Park, IL",60099.0,208,https://www.mhvillage.com/parks/10829,,
43,Avalon Mobile Home Park,"1639 Sheridan Road,","Zion, IL",60099.0,31,https://www.mhvillage.com/parks/10828,,
44,Shoreline Terrace,"38569 N Sheridan Rd,","Beach Park, IL",60099.0,Not found,https://www.mhvillage.com/parks/105849,,
45,Spring Lake Mobile Home Estates,"100 First Street,","Bartlett, IL",60103.0,511,https://www.mhvillage.com/parks/10341,,
46,Cortland,"300 South Somonauk Road,","Dekalb, IL",60115.0,81,https://www.mhvillage.com/parks/10437,,
47,Southmoor Estates Manufactured Home Community,"1032 South 7th Street,","Dekalb, IL",60115.0,100,https://www.mhvillage.com/parks/10438,,
48,Old Oaks Estates,"850 Villa Street,","Elgin, IL",60120.0,264,https://www.mhvillage.com/parks/11676,,
49,Villa Garden Estates,"452 Lucille Avenue,","Elgin, IL",60120.0,141,https://www.mhvillage.com/parks/10687,,
50,Willow Lake Estates,"161 West River Road,","Elgin, IL",60123.0,623,https://www.mhvillage.com/parks/10688,,
51,Bueche's Mobile Home Park,"909 South Mclean Boulevard,","Elgin, IL",60123.0,Not found,https://www.mhvillage.com/parks/36384,,
52,Forest View Manor Manufactured Home Park,"100 Forest View Drive,","Genoa, IL",60135.0,100,https://www.mhvillage.com/parks/10439,,
53,Indian Trails,"1150 Briden Drive,","Marengo, IL",60152.0,167,https://www.mhvillage.com/parks/11045,,
54,Guerine Mobile Home Park,"4700 Division Street,","Melrose Park, IL",60160.0,347,https://www.mhvillage.com/parks/10404,,
55,Meadowcreek Mobile Home Park,"4503 West Lake Street,","Melrose Park, IL",60160.0,287,https://www.mhvillage.com/parks/10418,,
56,Edgebrook,"1801 Dekalb Avenue,","Sycamore, IL",60178.0,247,https://www.mhvillage.com/parks/10447,,
57,Pleasant Ridge,"27W370 Geneva Road,","West Chicago, IL",60185.0,148,https://www.mhvillage.com/parks/10476,,
58,Wood Dale Estates,"140 South Wood Dale Road,","Wood Dale, IL",60191.0,97,https://www.mhvillage.com/parks/10477,,
59,Pheasant Lake Estates,"1 Pheasant Circle,","Beecher, IL",60401.0,613,https://www.mhvillage.com/parks/87,,
60,Imperial MHP,"106 East Jefferson Street,","Shorewood, IL",60404.0,184,https://www.mhvillage.com/parks/36813,,
61,AAA Mobile Home Park,"2005 West 139th Street,","Blue Island, IL",60406.0,105,https://www.mhvillage.com/parks/10342,,
62,American Mobile Home Park,"14149 S Western Ave,","Blue Island, IL",60406.0,47,https://www.mhvillage.com/parks/10343,,
63,Smith Mobile Homes,"14115 South Western Avenue,","Blue Island, IL",60406.0,233,https://www.mhvillage.com/parks/10350,,
64,Sycamore Mobile Home Park,"1750 W Broadway,","Blue Island, IL",60406.0,86,https://www.mhvillage.com/parks/11682,,
65,Colonial Estates,"14139 South Western Avenue,","Dixmoor, IL",60406.0,183,https://www.mhvillage.com/parks/10346,,
66,Blue Island Mobile Home Park,"13667 Western Avenue,","Blue Island, IL",60406.0,Not found,https://www.mhvillage.com/parks/10344,,
67,Broadway Estates,"2800 Broadway Street,","Blue Island, IL",60406.0,Not found,https://www.mhvillage.com/parks/10345,,
68,Modern Estates & Forest View Mobile Home Park,"14001 Western Avenue,","Blue Island, IL",60406.0,Not found,https://www.mhvillage.com/parks/10349,,
69,Mourning Trailer Park,"452 N Vernon Dr,","Godley, IL",60407.0,Not found,https://www.mhvillage.com/parks/11568,,
70,Dixon Mobile Home Park,"177 N Center St,","Braidwood, IL",60408.0,Not found,https://www.mhvillage.com/parks/11556,,
71,River Oaks Mobile Estates,"2025 Dolton Road,","Calumet City, IL",60409.0,301,https://www.mhvillage.com/parks/10352,,
72,Park Harbor Mobile Home Park,"4 Oak Court,","Calumet City, IL",60409.0,Not found,https://www.mhvillage.com/parks/10351,,
73,Remington Woods,"22500 S Remington Dr,","Channahon, IL",60410.0,175,https://www.mhvillage.com/parks/42386,,
74,Alpine Village,"450 Chillon Drive,","Lynwood, IL",60411.0,677,https://www.mhvillage.com/parks/10365,,
75,Weatherstone Lakes,"21191 Torrence Avenue,","Sauk Village, IL",60411.0,105,https://www.mhvillage.com/parks/37881,,
76,Candlelight Village,"4 Candlelight Drive,","Sauk Village, IL",60411.0,309,https://www.mhvillage.com/parks/10361,,
77,Paradise Park,"699 Michelle Drive,","Lynwood, IL",60411.0,278,https://www.mhvillage.com/parks/57999,,
78,Linway Estates,"2836 East Lincoln Highway,","Chicago Heights, IL",60411.0,300,https://www.mhvillage.com/parks/10362,,
79,Manson Mobile Home Park,"3001 Forest Preserve Drive,","Chicago Heights, IL",60411.0,Not found,https://www.mhvillage.com/parks/10363,,
80,Burt Estates,"300 N Daley Street,","Diamond, IL",60416.0,242,https://www.mhvillage.com/parks/10549,,
81,Burt Estates,"300 N Daley St,","Diamond, IL",60416.0,Not found,https://www.mhvillage.com/parks/10550,,
82,Queens Estates,"1712 South Dixie Highway,","Crete, IL",60417.0,148,https://www.mhvillage.com/parks/11561,,
83,Gianni Mobile Home Park,"925 Main Street,","Crete, IL",60417.0,Not found,https://www.mhvillage.com/parks/11560,,
84,Creek Ridge,"300 East Spencer Street,","Dwight, IL",60420.0,97,https://www.mhvillage.com/parks/10851,,
85,Dwight Mobile Home Park,"401 West Williams Street,","Dwight, IL",60420.0,Not found,https://www.mhvillage.com/parks/10852,,
86,Olsen Mobile Home Park,"516 E Seminole St,","Dwight, IL",60420.0,Not found,https://www.mhvillage.com/parks/10850,,
87,Shady Nook Mobile Home Park,"314 S Saint Louis St,","Elwood, IL",60421.0,80,https://www.mhvillage.com/parks/11565,,
88,Gateway Manufactured Home Community,"22900 South Big Run Drive,","Frankfort, IL",60423.0,442,https://www.mhvillage.com/parks/29546,,
89,Bookwalter Woods,"23 Sistek Road,","Gardner, IL",60424.0,167,https://www.mhvillage.com/parks/10551,,
90,"Dixie Garden Homes, Inc","15000 Dixie Highway,","Harvey, IL",60426.0,187,https://www.mhvillage.com/parks/10382,,
91,Specialville Estates,"14136 S. Wood Street,","Dixmoor, IL",60426.0,Not found,https://www.mhvillage.com/parks/129579,,
92,Western Crossing,"14001 S. Western Avenue,","Dixmoor, IL",60426.0,Not found,https://www.mhvillage.com/parks/129298,,
93,Hazel Crest MHC,"16902 Dixie Hwy,","Hazel Crest, IL",60429.0,22,https://www.mhvillage.com/parks/106444,,
94,Ely's Trailer Park,"861 Ridge Road,","Homewood, IL",60430.0,Not found,https://www.mhvillage.com/parks/10389,,
95,Stateville Court Federal Employee Community,"St Rte 53,","Joliet, IL",60435.0,Not found,https://www.mhvillage.com/parks/11578,,
96,Modern Manor,"1703 South Chicago Street,","Joliet, IL",60436.0,40,https://www.mhvillage.com/parks/89,,
97,Peet's Mobile Home Park,"1519 S Chicago St,","Joliet, IL",60436.0,Not found,https://www.mhvillage.com/parks/11573,,
98,Busy Bee Mobile Home Park,"13555 South Archer Avenue,","Lemont, IL",60439.0,Not found,https://www.mhvillage.com/parks/10397,,
99,Triangal Mh Park,"15051 S Archer Ave,","Lockport, IL",60441.0,Not found,https://www.mhvillage.com/parks/57834,,
100,Timber Ridge Park LLC,"21700 Timber Ridge Road,","Matteson, IL",60443.0,773,https://www.mhvillage.com/parks/10402,,
101,Maple Brook,"21635 Ridgeland Avenue,","Matteson, IL",60443.0,440,https://www.mhvillage.com/parks/10401,,
102,Benson Mobile Home Park,"Sucker Road,","Mazon, IL",60444.0,14,https://www.mhvillage.com/parks/11667,,
103,Rustic Acres Mobile Home Park,"3510 S Dwight Rd,","Mazon, IL",60444.0,Not found,https://www.mhvillage.com/parks/107164,,
104,Shady Oaks,"14 Central,","Minooka, IL",60447.0,364,https://www.mhvillage.com/parks/10555,,
105,Golf Vista Estates,"4951 Augusta Blvd.,","Monee, IL",60449.0,497,https://www.mhvillage.com/parks/11581,,
106,Dresden Acres,"9070 North Dresden Drive,","Morris, IL",60450.0,Not found,https://www.mhvillage.com/parks/10556,,
107,Hildy Mobile Home Park,"1215 Price St,","Morris, IL",60450.0,Not found,https://www.mhvillage.com/parks/106920,,
108,Oak Forest,"5110 159th Street,","Oak Forest, IL",60452.0,70,https://www.mhvillage.com/parks/10409,,
109,Airway Manufactured Housing Community,"9001 South Cicero Avenue,","Oak Lawn, IL",60453.0,268,https://www.mhvillage.com/parks/10410,,
110,Rosebud,"8800 South Harlem Avenue,","Bridgeview, IL",60455.0,865,https://www.mhvillage.com/parks/11680,,
111,Sterling Estates,"9300 W. 79th St.,","Justice, IL",60458.0,807,https://www.mhvillage.com/parks/10391,,
112,Chief Mobile Home Park,"8101 West 79th Street,","Justice, IL",60458.0,165,https://www.mhvillage.com/parks/10390,,
113,Riverside West Manufactured Homes,"North Park Street,","Wilmington, IL",60481.0,11,https://www.mhvillage.com/parks/126080,39.9654851,-75.1591376
114,Carter Mobile Home Park,"North Park Street,","Wilmington, IL",60481.0,Not found,https://www.mhvillage.com/parks/11584,,
115,Shadow Lakes - Tully Monster Village,"Coal City Rd,","Wilmington, IL",60481.0,Not found,https://www.mhvillage.com/parks/127512,,
116,Arrow Ridge Estates,"11701 S Ridgeland Ave,","Worth, IL",60482.0,93,https://www.mhvillage.com/parks/75081,,
117,Water's Edge Estates,"7240 West 107th Street,","Worth, IL",60482.0,173,https://www.mhvillage.com/parks/10424,,
118,Southwest Estates,"10401 Southwest Highway,","Worth, IL",60482.0,111,https://www.mhvillage.com/parks/10423,,
119,Arrow Mobile Home Park,"11725 Sourth Ridgeland Avenue,","Worth, IL",60482.0,120,https://www.mhvillage.com/parks/10421,,
120,Margarets Hi-Acre,"1100 Rural St,","Aurora, IL",60505.0,100,https://www.mhvillage.com/parks/58112,,
121,Breazeale Trailer Park,"1147 Rural Street,","Aurora, IL",60505.0,Not found,https://www.mhvillage.com/parks/10676,42.2740763,-89.0789541
122,Margaret's Parkview Estates,"800 Hill Avenue,","Aurora, IL",60505.0,Not found,https://www.mhvillage.com/parks/10678,,
123,Dearborn Mobile Home Park,"1700 Block E Dearborn Ave,","Aurora, IL",60505.0,Not found,https://www.mhvillage.com/parks/106938,,
124,Patterson Mh Park,"1220 Hinckley St,","Aurora, IL",60505.0,Not found,https://www.mhvillage.com/parks/58111,,
125,Oak Terrace Manufactured Home Community,"42 Oak Terrace Court,","Batavia, IL",60510.0,Not found,https://www.mhvillage.com/parks/10683,,
126,Earlville Mobile Home Park,"4461 E 1251st Road,","Earlville, IL",60518.0,31,https://www.mhvillage.com/parks/10741,,
127,Century Estates,"1610 E Us Route 34,","Earlville, IL",60518.0,Not found,https://www.mhvillage.com/parks/107406,,
128,Century Estates,"1610 Walter Payton Memorial Hwy,","Earlville, IL",60518.0,Not found,https://www.mhvillage.com/parks/107408,,
129,Country Club Woods,"9800 Joliet Rd.,","Countryside, IL",60525.0,310,https://www.mhvillage.com/parks/29162,,
130,"Weeping Willow Ranch MHC, LLC.","6801 S. La Grange Rd.,","Hodgkins, IL",60525.0,182,https://www.mhvillage.com/parks/68350,,
131,Valley Oaks,"6208 Lawn Drive,","Hodgkins, IL",60525.0,132,https://www.mhvillage.com/parks/11715,,
132,La Grange Estates,"6 Court Dr,","La Grange, IL",60525.0,115,https://www.mhvillage.com/parks/11668,,
133,Parkview MHC,"8783 Canary Lane,","Hodgkins, IL",60525.0,165,https://www.mhvillage.com/parks/10386,,
134,Crooked Tree Campground,"8574 Milbrook Road,","Millbrook, IL",60536.0,40,https://www.mhvillage.com/parks/10720,,
135,Oak Grove Mobile Home Village,"1336 Douglas Avenue,","Montgomery, IL",60538.0,85,https://www.mhvillage.com/parks/10689,,
136,Countryside Estates MHP,"E 2750th Road & Center Street,","Sandwich, IL",60548.0,63,https://www.mhvillage.com/parks/10441,,
137,Wildwood Estates,"1 Birch Drive,","Sandwich, IL",60548.0,476,https://www.mhvillage.com/parks/83,,
138,Triangle Manufactured Home Community,"1251 Lauren Drive,","Sandwich, IL",60548.0,72,https://www.mhvillage.com/parks/10446,,
139,Jon's Estates,"12 Chrissy Drive,","Sandwich, IL",60548.0,35,https://www.mhvillage.com/parks/10444,,
140,Sandwich Mobile Home Park,"1027 East Railroad Street,","Sandwich, IL",60548.0,Not found,https://www.mhvillage.com/parks/10445,,
141,Leifheit Mh Park,"435 S Elm St,","Waterman, IL",60556.0,Not found,https://www.mhvillage.com/parks/57631,,
142,Waterman Mobile Home Park,"250 E Lincoln Highway,","Waterman, IL",60556.0,Not found,https://www.mhvillage.com/parks/107252,,
143,Hide Away Lakes Mobile Home Park,"8045 Van Emmon Road,","Yorkville, IL",60560.0,Not found,https://www.mhvillage.com/parks/64590,,
144,Harbor Point Estates,"4000 East 134th Street,","Chicago, IL",60633.0,775,https://www.mhvillage.com/parks/28682,,
145,OK Trailer Park,"2826 E 138th Place,","Chicago, IL",60633.0,Not found,https://www.mhvillage.com/parks/10358,,
146,South East,"401 136th Street,","Chicago, IL",60633.0,Not found,https://www.mhvillage.com/parks/10354,,
147,Oak Lane Mobile Home Park,"11750 South Homan Avenue,","Merrionette Park, IL",60803.0,223,https://www.mhvillage.com/parks/10359,,
148,Century Mobile Home Park,"12357 South Ashland Avenue,","Calumet Park, IL",60827.0,Not found,https://www.mhvillage.com/parks/10355,,
149,Skyview Estates,"93 N. 3530E Road,","Kankakee, IL",60901.0,28,https://www.mhvillage.com/parks/103599,,
150,Kankakee Estates,"1995 South Schuyler Avenue,","Kankakee, IL",60901.0,168,https://www.mhvillage.com/parks/10704,,
151,Tri-Star Estates,"43 E 5000N Rd.,","Bourbonnais, IL",60914.0,850,https://www.mhvillage.com/parks/10695,,
152,Oak Creek Estates,"1343 N Arthur Burch Dr,","Bourbonnais, IL",60914.0,343,https://www.mhvillage.com/parks/10692,41.1679824,-87.8537681
153,Dehm Court,"207 W Elm St,","Chatsworth, IL",60921.0,Not found,https://www.mhvillage.com/parks/107038,,
154,Chebanse MH Estates,"5194 S Route 45-52,","Chebanse, IL",60922.0,89,https://www.mhvillage.com/parks/10698,,
155,River Crest Mobile Home Park,"5800 River Road,","Chebanse, IL",60922.0,16,https://www.mhvillage.com/parks/10587,,
156,Iroquois Mobile Estates,"3118 North Us Highway 45 52,","Chebanse, IL",60922.0,51,https://www.mhvillage.com/parks/10586,,
157,Barberry Acres,"6478 S Route 45-52,","Chebanse, IL",60922.0,Not found,https://www.mhvillage.com/parks/10697,,
158,Carriage Lane Mobile Home Park,"1104 N Lott Blvd,","Gibson City, IL",60936.0,46,https://www.mhvillage.com/parks/10510,,
159,Hunts Mh Park,"601 Orange Street,","Hoopeston, IL",60942.0,Not found,https://www.mhvillage.com/parks/57858,,
160,R&S Rentals,"205 S Elm St,","Loda, IL",60948.0,Not found,https://www.mhvillage.com/parks/106982,,
161,Ludlow Mobile Home Park,"Poplar Street,","Ludlow, IL",60949.0,11,https://www.mhvillage.com/parks/10210,,
162,Oak Ridge,"1099 Oak Ridge Drive,","Manteno, IL",60950.0,426,https://www.mhvillage.com/parks/39079,,
163,Maple Crest Manor,"550 Birch Street,","Manteno, IL",60950.0,109,https://www.mhvillage.com/parks/10711,,
164,Manteno,"6024 East 9120 North Road,","Manteno, IL",60950.0,80,https://www.mhvillage.com/parks/10710,,
165,Maple Ridge Mobile Home Park,"1 Maple Valley,","Manteno, IL",60950.0,276,https://www.mhvillage.com/parks/57826,,
166,Maple Valley,"1 Silver Circle,","Manteno, IL",60950.0,201,https://www.mhvillage.com/parks/10713,,
167,Sunny Acres,"200 Franklin Drive,","Manteno, IL",60950.0,189,https://www.mhvillage.com/parks/10478,,
168,Bill's Mobile Court,"10557 North State Route 50,","Manteno, IL",60950.0,Not found,https://www.mhvillage.com/parks/10707,,
169,Harvest Estates,"10557 N Route 50,","Manteno, IL",60950.0,Not found,https://www.mhvillage.com/parks/106826,,
170,Combs Mobile Home Park,"434 W Pine St,","Paxton, IL",60957.0,Not found,https://www.mhvillage.com/parks/57755,,
171,Paxton MHC,"Route 45 And East Chestnut St.,","Paxton, IL",60957.0,Not found,https://www.mhvillage.com/parks/106924,,
172,Shannon Shores Mobile Home Park,"18530 West 3000 North Road,","Reddick, IL",60961.0,189,https://www.mhvillage.com/parks/10716,41.1581803,-88.2333078
173,Windmill Estates,"5550 S. Il Route 1,","Saint Anne, IL",60964.0,28,https://www.mhvillage.com/parks/10705,,
174,Beaver Creek Village,"1795 E 3180 N Rd,","Saint Anne, IL",60964.0,Not found,https://www.mhvillage.com/parks/106802,,
175,Sugar Creek Mobile Home Community,"1005 West Lafayette Street,","Watseka, IL",60970.0,46,https://www.mhvillage.com/parks/10594,,
176,Watch-E-Kee Mobile Home Park,"31A Watch-E-Kee Drive,","Watseka, IL",60970.0,63,https://www.mhvillage.com/parks/10597,,
177,Greenview Estates,"3901 Newburg Rd,","Belvidere, IL",61008.0,355,https://www.mhvillage.com/parks/10164,,
178,The Four Seasons,"700 Chrysler Drive,","Belvidere, IL",61008.0,587,https://www.mhvillage.com/parks/11660,,
179,Holiday Acres Mobile Home Park,"7050 Epworth,","Belvidere, IL",61008.0,50,https://www.mhvillage.com/parks/11614,,
180,Bel-Bo Mobile Home Park,"1211 West Locust Street,","Belvidere, IL",61008.0,Not found,https://www.mhvillage.com/parks/10162,,
181,Park Meadowlands West Mhc,"2630 Spring Creek Rd,","Belvidere, IL",61008.0,Not found,https://www.mhvillage.com/parks/58082,,
182,Lakeview Mobile Home Park,"8528 Route 2,","Byron, IL",61010.0,Not found,https://www.mhvillage.com/parks/106914,,
183,Rolling Meadows Mobile Home Park,"4989 N Il Route 251,","Davis Junction, IL",61020.0,149,https://www.mhvillage.com/parks/11124,,
184,Chateau Estates,"1100 Carondelet Road,","Dixon, IL",61021.0,160,https://www.mhvillage.com/parks/10839,,
185,Rock River Estates,"291 Il Rt. 2,","Dixon, IL",61021.0,200,https://www.mhvillage.com/parks/10845,,
186,Shamrock Mobile Home Park,"1351 Chicago Avenue,","Dixon, IL",61021.0,16,https://www.mhvillage.com/parks/10843,,
187,Greenacres Mobile Home Park,"519 South Il Route,","Dixon, IL",61021.0,Not found,https://www.mhvillage.com/parks/10842,,
188,Frentriss Lake,"511 Kroll Road,","East Dubuque, IL",61025.0,60,https://www.mhvillage.com/parks/11675,,
189,Spring Brook MHP LLC,"601 N Ash,","Forreston, IL",61030.0,31,https://www.mhvillage.com/parks/129581,,
190,Simlers Park,"604 North Walnut Avenue,","Forreston, IL",61030.0,35,https://www.mhvillage.com/parks/11126,,
191,Candle Lite Mobile Home Park,"Oak St,","Forreston, IL",61030.0,Not found,https://www.mhvillage.com/parks/107022,,
192,Timber Ridge MHP LLC,"3998 Baileyville Road,","Freeport, IL",61032.0,60,https://www.mhvillage.com/parks/11430,,
193,Knollwood Estates Manufactured Home Community,"100 Tanglewood Dr.,","Freeport, IL",61032.0,300,https://www.mhvillage.com/parks/11426,,
194,Stephenson Manufactured Housing Community,"6807 W. Stephenson St,","Freeport, IL",61032.0,88,https://www.mhvillage.com/parks/11429,,
195,Woodridge Estates Manufactured Housing Community,"2284 W. Galena Ave.,","Freeport, IL",61032.0,215,https://www.mhvillage.com/parks/11432,,
196,West Town Mobile Home Park,"2044 West Galena Avenue,","Freeport, IL",61032.0,55,https://www.mhvillage.com/parks/11431,,
197,Paradise Park,"11122 Station Street,","Garden Prairie, IL",61038.0,270,https://www.mhvillage.com/parks/105900,,
198,Griffiths Mobile Home Park,"4255 West Blanding Road,","Hanover, IL",61041.0,Not found,https://www.mhvillage.com/parks/10667,,
199,Woodland Valley Courts,"1042 W Rush Rd,","Hanover, IL",61041.0,Not found,https://www.mhvillage.com/parks/57872,,
200,Mt. Morris Estates MHP LLC,"3747 West Il Route 64,","Mount Morris, IL",61054.0,171,https://www.mhvillage.com/parks/11127,,
201,Six Oaks Manufactured Home Community,"16260 W State Rd,","Pecatonica, IL",61063.0,Not found,https://www.mhvillage.com/parks/106834,,
202,Oak Lawn Mobile Home Park,"13011 Office Drive,","Poplar Grove, IL",61065.0,180,https://www.mhvillage.com/parks/10169,,
203,River Road Mobile Home Park,"4500 East River Road,","Ridott, IL",61067.0,Not found,https://www.mhvillage.com/parks/11434,,
204,Shangri La Mobile Home Park,"10978 East Fisher Road,","Rochelle, IL",61068.0,165,https://www.mhvillage.com/parks/11133,,
205,Town & Country Mobile Home Park,"800 Treatment Plant Road,","Rochelle, IL",61068.0,30,https://www.mhvillage.com/parks/11134,,
206,Rolling Green Estates,"100 N Rolling Green Lane,","Rochelle, IL",61068.0,86,https://www.mhvillage.com/parks/11132,,
207,Country Acres Mobile Manor,"1600 Riverdale Road,","Rock Falls, IL",61071.0,106,https://www.mhvillage.com/parks/11548,,
208,Sauk Valley Estates,"1507 W Rock Falls Rd,","Rock Falls, IL",61071.0,21,https://www.mhvillage.com/parks/127088,,
209,East Z Living Mobile Home Park,"1507 W Route 30,","Rock Falls, IL",61071.0,Not found,https://www.mhvillage.com/parks/106918,,
210,Riverside Mobile Estates,"901 Regan Road,","Rock Falls, IL",61071.0,400,https://www.mhvillage.com/parks/11552,,
211,Big Elm Mobile Home Park,"502 Beech Street,","Savanna, IL",61074.0,88,https://www.mhvillage.com/parks/10184,,
212,Cordial Court Mobile Home Park,"226 Townline Ave Lot 3B,","South Beloit, IL",61080.0,40,https://www.mhvillage.com/parks/11644,,
213,South Bluff Homes,"666 South Bluff Street,","South Beloit, IL",61080.0,221,https://www.mhvillage.com/parks/11646,,
214,Northgate Estates,"236 Fischer Road,","South Beloit, IL",61080.0,Not found,https://www.mhvillage.com/parks/11645,,
215,Woodlawn Trailer Court,"1501 West 4th Street,","Sterling, IL",61081.0,Not found,https://www.mhvillage.com/parks/11554,,
216,Meridian Manor Mobile Home Park,"7058 East Il Route 72,","Stillman Valley, IL",61084.0,38,https://www.mhvillage.com/parks/11136,,
217,Country Air Mobile Home Estates,"410 South Simmons Street,","Stockton, IL",61085.0,44,https://www.mhvillage.com/parks/10669,,
218,J & J Mobile Home Park,"240 E Carpenter Ave,","Stockton, IL",61085.0,Not found,https://www.mhvillage.com/parks/57680,,
219,Zink's Country Court,"531 E Front Ave,","Stockton, IL",61085.0,Not found,https://www.mhvillage.com/parks/107050,,
220,Green Meadows Estates,"4650 South Main Street,","Rockford, IL",61102.0,384,https://www.mhvillage.com/parks/11629,,
221,Green Meadows Estates,"3263 Aquamarine Dr,","Rockford, IL",61102.0,Not found,https://www.mhvillage.com/parks/98849,,
